,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"MLPRegressor(activation='tanh', alpha=0.001, hidden_layer_sizes=(30, 5),
             max_iter=60, solver='lbfgs')",0.9300038660623635,0.19468247354797183,0.00851738509910437,0.09591574679241582,0.1427375158651594,0.9340930727811168,0.8107441159698572,-0.22343017099312035,0.010335959617496787,-0.13581789351186363,-0.16520606869516558,0.73298365976346,1,1,3,4,4,1,0,0,0,1,0,3,4
<catboost.core.CatBoostRegressor object at 0x0000017A2F127E20>,0.9405473487134675,0.1794218962035493,0.006510841523013243,0.06311046758564354,0.11056926050861919,0.9405519760978892,0.7118673512455179,-0.33538037623611355,0.010806753382935075,-0.19113040054965408,-0.2184292431363155,0.8243300680426231,0,0,0,0,0,0,2,1,1,2,3,1,10
"GradientBoostingRegressor(learning_rate=0.03, n_estimators=650, subsample=0.6)",0.9241275004848845,0.2026898608683605,0.006955104018927855,0.0730379836725853,0.13503181539490478,0.926228049048903,0.7172438980503983,-0.34218995680155434,0.011253504850075386,-0.19345275342163615,-0.21325305209915085,0.8311649459712532,4,4,1,1,1,3,1,2,2,3,2,0,10
"SVR(C=1.6, cache_size=3000, epsilon=0.01, gamma=4)",0.9100096640288786,0.2207434192788768,0.012126407067754542,0.14405419506401113,0.16585390240739423,0.9211372630530037,0.4830124427911244,-0.40722166878096894,0.012102924162578764,-0.12869153300707353,-0.20179340251086297,0.804651474588808,5,5,5,6,5,5,4,4,3,0,1,2,14
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.11, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=350, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9259031964776319,0.20030397387213433,0.0077012497568924535,0.08915909290313717,0.13776207296053572,0.925905416641899,0.511405915217098,-0.3716252686566609,0.014951426821195215,-0.20780787044763568,-0.24532516957521439,0.7079626190972623,3,3,2,2,2,4,3,3,4,4,4,4,22
"ExtraTreesRegressor(max_depth=20, n_estimators=81, n_jobs=-4)",0.9281947102522731,0.19718235459408587,0.008680623541142856,0.09104938271604823,0.14141563786008227,0.9282061201479196,0.07536740073236718,-0.4344449536727069,0.02159031155471995,-0.23626543209876524,-0.2599999999999995,0.6921628727339624,2,2,4,3,3,2,7,5,6,5,5,5,33
"RandomForestRegressor(max_depth=18, n_estimators=50)",0.8138300412719214,0.31750065826703405,0.015006064007231932,0.13710000000000006,0.2059133333333333,0.8148732156044922,0.17333000771412901,-0.47446472492694325,0.02155655844824283,-0.25270999999999977,-0.30166799999999994,0.6908388520032882,7,7,7,5,6,7,5,8,5,6,6,6,36
DecisionTreeRegressor(max_depth=10),0.8682787692254655,0.2670654570200597,0.012420513801154772,0.15499999999999997,0.20725000000000005,0.8682855536579094,0.12061078591884448,-0.4617780852314237,0.023905435056304998,-0.2709999999999999,-0.32409999999999994,0.4845475648479102,6,6,6,7,7,6,6,7,7,7,7,7,41
AdaBoostRegressor(loss='square'),0.76637291257874,0.35567343249298305,0.024734462345777253,0.26780769230769247,0.29000826403176466,0.7975451370234995,-0.1960664584625627,-0.4560877281216642,0.026719212934997107,-0.3482935095324506,-0.3713139952706172,0.4620446824814711,8,8,8,10,8,8,8,6,8,9,8,9,48
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=350)",0.42801044188980253,0.5565239758889584,0.04253391986061979,0.23639361880183468,0.3625392426528501,0.4595959420137733,-0.41735556412200925,-0.6146734032657606,0.03884164482194857,-0.3574913105449581,-0.4135716214800141,0.46844515718008956,10,10,10,8,9,11,9,9,10,10,10,8,56
