,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"ExtraTreesRegressor(max_depth=10, n_estimators=41, n_jobs=-3)",0.4531196796371524,0.11950385734977505,0.004469192044715352,0.04158536585365891,0.07995934959349614,0.5067953521215248,,-0.41676253943608677,0.028236633136892474,-0.30332926829268303,-0.3295487804878049,-13.052727482774404,0,0,0,0,0,0,0,0,1,1,2,10,14
"SVR(C=0.4, cache_size=4000, epsilon=0.05, gamma=1)",0.0071981908761099556,0.1610152667673135,0.008301304654652515,0.13393496583806147,0.1409023708473542,0.39812409431413875,,-0.5397440188345407,0.036509331256678865,-0.32924803771320893,-0.32924803771320893,-3.6098978979424734,1,1,1,7,1,2,2,6,3,2,1,6,20
<catboost.core.CatBoostRegressor object at 0x0000017A299CBAC0>,-0.5723599803492261,0.20263374304437848,0.012350340496041815,0.07600172271227396,0.1497795396058562,-0.1309765889161254,-inf,-0.4201643017035799,0.02419378881767389,-0.2879155949300937,-0.2879155949300937,-31.512853796220092,2,2,2,4,2,4,13,1,0,0,0,12,26
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.09, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",-0.820812661558395,0.21805618434572765,0.013808960188284779,0.07385883092880247,0.1524123070637385,-0.32245587564970446,,-0.4809958038557064,0.031858802032657056,-0.3430308045744896,-0.3430308045744896,-17.189054981143318,3,3,3,3,3,6,5,2,2,4,4,11,28
Ridge(solver='sag'),-1.6741641288844646,0.2642590110712239,0.022869292862249497,0.22211303191420723,0.23263972494378793,-1.4138885280138735,,-0.48371693712479846,0.03778132392991301,-0.3427846261865607,-0.34282530004008294,-8.221088559814225,5,5,5,10,8,8,7,3,4,3,3,8,28
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=500)",-2.2959293104989262,0.29337609275467746,0.02468320703849294,0.20044000000000095,0.21679666666666728,-0.4960903482608572,,-0.5091694277153737,0.04500513003587432,-0.3785110000000003,-0.3582690000000003,-4.286514526372251,6,6,6,9,7,7,6,4,5,6,5,7,33
"GradientBoostingRegressor(learning_rate=0.09, max_depth=5, n_estimators=200,
                          subsample=0.9)",-2.7138122539201093,0.31141946078089555,0.025995740337830458,0.057091299245340565,0.19953127342594587,-1.5640592560191746,,-0.5840369264596421,0.05490144383314344,-0.3593597118770234,-0.37947233948862225,-1.5745110098818298,9,9,9,1,6,9,8,8,7,5,6,4,38
"AdaBoostRegressor(learning_rate=0.001, n_estimators=140)",-2.67479080239691,0.3097790804810805,0.02519968241354532,0.06166666666666665,0.19625000000000004,-1.5879021439799552,,-0.5266023139247451,0.056130294173776255,-0.3920017135642136,-0.39981493506493504,-0.55424641797578,8,8,8,2,5,10,9,5,8,8,8,3,41
"Lasso(alpha=0.1, max_iter=4000)",-2.577177370386404,0.3056370599029481,0.024816968473537513,0.23637911044604232,0.2805466043017968,0.4367895466114502,,-0.6211078892405829,0.05839383005025448,-0.4420934131665192,-0.4420934131665192,-0.20767313085750808,7,7,7,11,10,1,1,9,9,9,11,2,41
"RandomForestRegressor(max_depth=10, min_samples_leaf=2, min_samples_split=5,
                      n_estimators=200)",-4.653637258880137,0.38423749842574995,0.03877729809660977,0.15612470238095216,0.27393162698412676,-2.036138583514596,,-0.5608024829255045,0.050898436049107106,-0.38995074753024767,-0.3851217279040404,-11.210269014189066,10,10,10,8,9,11,10,7,6,7,7,9,46
"LGBMRegressor(learning_rate=0.07, max_depth=13, n_estimators=350, num_leaves=5)",-10.971151539256924,0.5591183427220094,0.0890879842599188,0.5719230839839349,0.5352564173172683,0.0,,-0.8002778439599626,0.11468502732630069,-0.6205294124172405,-0.6205294124172405,0.1,13,13,13,13,13,3,3,12,12,12,13,0,52
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(50, 5), max_iter=60)",-1.1617852300362856,0.23759759952240397,0.01980697439951711,0.09719545225702664,0.16049770351630546,-0.30218011874327777,,-1.437062270958075,0.1435134540151723,-0.985116852559457,-0.40813005123079443,-0.05501705033971416,4,4,4,5,4,5,4,13,13,13,9,1,53
"DecisionTreeRegressor(max_depth=15, min_samples_leaf=2)",-8.871591674644549,0.507725957725374,0.060285529614114756,0.10416666666666666,0.33694444444444455,-5.839499934995099,,-0.6221042918996782,0.07209258098729401,-0.46358333333333335,-0.43533333333333324,-2.1689828140397234,11,11,12,6,11,12,11,10,11,10,10,5,57
LinearRegression(positive=True),-9.826921743211708,0.5317264629590347,0.049731072998232546,0.3755361181439514,0.4511730674180887,-8.806372510435482,,-0.645738024919395,0.06723398411888322,-0.5246313936287426,-0.5246313936287426,-85.77359391917375,12,12,11,12,12,13,12,11,10,11,12,13,69
